news_headline,news_article,news_category,full_text,clean_text
Jimmy Neesham uses Kobe Bryant's 'Job finished?' line to explain his viral picture,New Zealand all-rounder Jimmy Neesham used late NBA legend Kobe Bryant's 'Job finished? I don't think so' line to explain a viral picture of him following his team's T20 World Cup semi-final win. Neesham was seen sitting as others celebrated. Kobe had said the same after he was asked why he wasn't smiling being 2-0 up in 2009 NBA finals.,sports,Jimmy Neesham uses Kobe Bryant's 'Job finished?' line to explain his viral picture. New Zealand all-rounder Jimmy Neesham used late NBA legend Kobe Bryant's 'Job finished? I don't think so' line to explain a viral picture of him following his team's T20 World Cup semi-final win. Neesham was seen sitting as others celebrated. Kobe had said the same after he was asked why he wasn't smiling being 2-0 up in 2009 NBA finals.,jimmy neesham use kobe bryant job finish line explain viral picture new zealand rounder jimmy neesham use late nba legend kobe bryant job finish not think line explain viral picture follow team world cup semi final win neesham see sit celebrate kobe say ask not smile nba final
Man arrested from Hyderabad for giving online rape threats to Virat Kohli's daughter,"Mumbai Police Cyber Cell arrested a man from Hyderabad for giving online rape threats to Virat Kohli's nine-month-old daughter. He has been identified as 23-year-old Ramnagesh Alibathini and he's being brought to Mumbai, police said. The man had given rape threats after Kohli supported Mohammad Shami, who was being abused online after loss against Pakistan in T20 World Cup 2021.",sports,"Man arrested from Hyderabad for giving online rape threats to Virat Kohli's daughter. Mumbai Police Cyber Cell arrested a man from Hyderabad for giving online rape threats to Virat Kohli's nine-month-old daughter. He has been identified as 23-year-old Ramnagesh Alibathini and he's being brought to Mumbai, police said. The man had given rape threats after Kohli supported Mohammad Shami, who was being abused online after loss against Pakistan in T20 World Cup 2021.",man arrest hyderabad give online rape threat virat kohli daughter mumbai police cyber cell arrest man hyderabad give online rape threat virat kohli nine month old daughter identify year old ramnagesh alibathini bring mumbai police say man give rape threat kohli support mohammad shami abuse online loss pakistan world cup
"England, New Zealand announce their playing XIs for T20 WC semi-final","New Zealand have won the toss and elected to bowl first in the first semi-final of T20 World Cup 2021. England have replaced injured Jason Roy with Sam Billings, while New Zealand are playing the same XI. Jonny Bairstow and Jos Buttler will open for England. England have won 13 of the 21 T20Is played between the two sides.",sports,"England, New Zealand announce their playing XIs for T20 WC semi-final. New Zealand have won the toss and elected to bowl first in the first semi-final of T20 World Cup 2021. England have replaced injured Jason Roy with Sam Billings, while New Zealand are playing the same XI. Jonny Bairstow and Jos Buttler will open for England. England have won 13 of the 21 T20Is played between the two sides.",england new zealand announce playing xis wc semi final new zealand win toss elect bowl first first semi final world cup england replace injure jason roy sam billing new zealand play xi jonny bairstow jos buttler open england england win tis play two side
Glad the creep who made rape threats to Virat's child held: Farhan,"Actor Farhan Akhtar on Wednesday tweeted that he is really glad to hear that the ""creep"" who made online rape threats to Virat Kohli and Anushka Sharma's nine-month-old daughter has been located and arrested by Mumbai Police. ""Now hoping for similar swift action in cases of female journalists who receive rape threats almost on a daily basis,"" Farhan further wrote.",sports,"Glad the creep who made rape threats to Virat's child held: Farhan. Actor Farhan Akhtar on Wednesday tweeted that he is really glad to hear that the ""creep"" who made online rape threats to Virat Kohli and Anushka Sharma's nine-month-old daughter has been located and arrested by Mumbai Police. ""Now hoping for similar swift action in cases of female journalists who receive rape threats almost on a daily basis,"" Farhan further wrote.",glad creep make rape threat virat child hold farhan actor farhan akhtar wednesday tweet really glad hear creep make online rape threat virat kohli anushka sharma nine month old daughter locate arrest mumbai police hope similar swift action case female journalist receive rape threat almost daily basis farhan write
"Fantastic knock, Daryl batted beautifully in high-pressure situation: Kane","New Zealand captain Kane Williamson said Daryl Mitchell's character stood out in their semi-final win against England in the T20 World Cup. ""Fantastic knock, Daryl hit the big shots when it counted...batted beautifully in a high-pressure situation,"" Williamson added. Daryl Mitchell remained unbeaten at 72 runs off 47 balls to help New Zealand chase down England's 166-run total. ",sports,"Fantastic knock, Daryl batted beautifully in high-pressure situation: Kane. New Zealand captain Kane Williamson said Daryl Mitchell's character stood out in their semi-final win against England in the T20 World Cup. ""Fantastic knock, Daryl hit the big shots when it counted...batted beautifully in a high-pressure situation,"" Williamson added. Daryl Mitchell remained unbeaten at 72 runs off 47 balls to help New Zealand chase down England's 166-run total. ",fantastic knock daryl bat beautifully high pressure situation kane new zealand captain kane williamson say daryl mitchell character stand semi final win england world cup fantastic knock daryl hit big shot count bat beautifully high pressure situation williamson add daryl mitchell remain unbeaten run ball help new zealand chase england run total
"Rizwan, Malik miss Pakistan's training session due to 'mild flu'","Pakistan's Mohammad Rizwan and Shoaib Malik are reportedly suffering from ""mild flu"". According to a report, both players woke up on Wednesday morning with ""light flu and low fever"" and were first advised to miss the training session. Both have tested negative for COVID-19, it added. Pakistan will face Australia in their T20 World Cup semi-final on Thursday. ",sports,"Rizwan, Malik miss Pakistan's training session due to 'mild flu'. Pakistan's Mohammad Rizwan and Shoaib Malik are reportedly suffering from ""mild flu"". According to a report, both players woke up on Wednesday morning with ""light flu and low fever"" and were first advised to miss the training session. Both have tested negative for COVID-19, it added. Pakistan will face Australia in their T20 World Cup semi-final on Thursday. ",rizwan malik miss pakistan training session due mild flu pakistan mohammad rizwan shoaib malik reportedly suffer mild flu accord report player wake wednesday morning light flu low fever first advise miss training session test negative covid add pakistan face australia world cup semi final thursday
"Babar Azam is not overly flamboyant, he's opposite of Kohli: Hayden","Pakistan batting consultant Matthew Hayden, during an interview, said that their captain Babar Azam has ""almost the opposite personality to someone like Virat Kohli"". ""Babar is very stable. He's not overly flamboyant,"" said Hayden, adding that Kohli is ""passionate and boisterous on the field"". Hayden further said Babar picks up line and length of the ball quicker than average cricketers. ",sports,"Babar Azam is not overly flamboyant, he's opposite of Kohli: Hayden. Pakistan batting consultant Matthew Hayden, during an interview, said that their captain Babar Azam has ""almost the opposite personality to someone like Virat Kohli"". ""Babar is very stable. He's not overly flamboyant,"" said Hayden, adding that Kohli is ""passionate and boisterous on the field"". Hayden further said Babar picks up line and length of the ball quicker than average cricketers. ",babar azam not overly flamboyant opposite kohli hayden pakistan batting consultant matthew hayden interview say captain babar azam almost opposite personality someone like virat kohli babar stable not overly flamboyant say hayden add kohli passionate boisterous field hayden say babar pick line length ball quicker average cricketer
It's impossible to beat this Pakistani side: PCB chairman Ramiz Raja,"Ahead of Pakistan's semi-final match against Australia in the T20 World Cup on Thursday, Pakistan Cricket Board (PCB) chairman Ramiz Raja has said it's ""impossible to beat [their] side"" in the ongoing tournament. He added, ""Pakistan have removed the tag of inconsistency from their performance."" Pakistan reached the semi-final after winning all their five matches in the group stage. ",sports,"It's impossible to beat this Pakistani side: PCB chairman Ramiz Raja. Ahead of Pakistan's semi-final match against Australia in the T20 World Cup on Thursday, Pakistan Cricket Board (PCB) chairman Ramiz Raja has said it's ""impossible to beat [their] side"" in the ongoing tournament. He added, ""Pakistan have removed the tag of inconsistency from their performance."" Pakistan reached the semi-final after winning all their five matches in the group stage. ",impossible beat pakistani side pcb chairman ramiz raja ahead pakistan semi final match australia world cup thursday pakistan cricket board pcb chairman ramiz raja say impossible beat [ ] side ongoing tournament add pakistan remove tag inconsistency performance pakistan reach semi final win five match group stage
Beyond my understanding: Aakash on Morgan not bowling Moeen vs NZ,"Commentator Aakash Chopra has criticised England captain Eoin Morgan for not bowling Moeen Ali against New Zealand in their semi-final match in the T20 World Cup. ""Probably Moeen might not have got hit, it was probably his day, he scored 51 runs [while batting],"" Aakash stated. New Zealand chased down England's 166-run total in 19 overs. ",sports,"Beyond my understanding: Aakash on Morgan not bowling Moeen vs NZ. Commentator Aakash Chopra has criticised England captain Eoin Morgan for not bowling Moeen Ali against New Zealand in their semi-final match in the T20 World Cup. ""Probably Moeen might not have got hit, it was probably his day, he scored 51 runs [while batting],"" Aakash stated. New Zealand chased down England's 166-run total in 19 overs. ",beyond understanding aakash morgan not bowl moeen vs nz commentator aakash chopra criticise england captain eoin morgan not bowl moeen ali new zealand semi final match world cup probably moeen may not get hit probably day score run [ batting ] aakash state new zealand chase england run total
England haven't got their death bowling right: Nasser Hussain,"After England's defeat in the T20 World Cup semi-final against New Zealand, former England captain Nasser Hussain said England have struggled consistently in their ""death bowling"". ""Everything had gone perfectly...until the 17th over of New Zealand's reply,"" he stated. New Zealand's Jimmy Neesham smashed two sixes and a four off Chris Jordan in the 17th over. ",sports,"England haven't got their death bowling right: Nasser Hussain. After England's defeat in the T20 World Cup semi-final against New Zealand, former England captain Nasser Hussain said England have struggled consistently in their ""death bowling"". ""Everything had gone perfectly...until the 17th over of New Zealand's reply,"" he stated. New Zealand's Jimmy Neesham smashed two sixes and a four off Chris Jordan in the 17th over. ",england not get death bowling right nasser hussain england defeat world cup semi final new zealand former england captain nasser hussain say england struggle consistently death bowling everything go perfectly th new zealand reply state new zealand jimmy neesham smash two six four chris jordan th
"If Babar keeps himself fit, he's going to be one of all-time greats: Gavaskar","Ex-India captain Sunil Gavaskar has said Pakistan captain Babar Azam will become one of the all-time greats if he keeps himself fit. ""Babar's reading of the game situation is brilliant and the changes that he [makes] with the bowling and field placing have been unbelievably accurate...he can also be one of the greatest captains that Pakistan has produced,"" Gavaskar added. ",sports,"If Babar keeps himself fit, he's going to be one of all-time greats: Gavaskar. Ex-India captain Sunil Gavaskar has said Pakistan captain Babar Azam will become one of the all-time greats if he keeps himself fit. ""Babar's reading of the game situation is brilliant and the changes that he [makes] with the bowling and field placing have been unbelievably accurate...he can also be one of the greatest captains that Pakistan has produced,"" Gavaskar added. ",babar keep fit go one time great gavaskar ex india captain sunil gavaskar say pakistan captain babar azam become one time great keep fit babar reading game situation brilliant change [ make ] bowling field placing unbelievably accurate also one great captain pakistan produce gavaskar add
He got us the momentum heading into final overs: Mitchell on Neesham's 27(11),"New Zealand opener Daryl Mitchell, who was named 'Man of the Match' in their semi-final win against England in the T20 World Cup, has said it was Jimmy Neesham who gave them the momentum to chase down England's 166-run total in the final overs. ""The way Jimmy came out...struck the ball from get go was pretty special,"" Mitchell added. ",sports,"He got us the momentum heading into final overs: Mitchell on Neesham's 27(11). New Zealand opener Daryl Mitchell, who was named 'Man of the Match' in their semi-final win against England in the T20 World Cup, has said it was Jimmy Neesham who gave them the momentum to chase down England's 166-run total in the final overs. ""The way Jimmy came out...struck the ball from get go was pretty special,"" Mitchell added. ",get us momentum head final mitchell neesham new zealand opener daryl mitchell name man match semi final win england world cup say jimmy neesham give momentum chase england run total final way jimmy come strike ball get go pretty special mitchell add
"Proud of the boys, we were right in the game until the 17th over: Morgan ","After their semi-final defeat against New Zealand in the T20 World Cup, England captain Eoin Morgan said he's proud of his team and they represented themselves ""really well"" in the tournament. ""New Zealand outplayed us...we were right in the game until probably the 17th, 18th over,"" he added. Neesham smashed two sixes and a four in the 17th over. ",sports,"Proud of the boys, we were right in the game until the 17th over: Morgan . After their semi-final defeat against New Zealand in the T20 World Cup, England captain Eoin Morgan said he's proud of his team and they represented themselves ""really well"" in the tournament. ""New Zealand outplayed us...we were right in the game until probably the 17th, 18th over,"" he added. Neesham smashed two sixes and a four in the 17th over. ",proud boy right game th morgan semi final defeat new zealand world cup england captain eoin morgan say proud team represent really well tournament new zealand outplay us right game probably th th add neesham smash two six four th
"History will be rewritten, Pakistan will win against Australia: Aakash","Commentator Aakash Chopra has predicted Pakistan to win against Australia in their semi-final in the ongoing T20 World Cup. ""History won't repeat itself...[it] will be rewritten,"" he stated, referring to the fact that Australia have won all four previous ICC knockout games against Pakistan. In T20Is, both teams have faced each other 23 times with Pakistan winning 13 times. ",sports,"History will be rewritten, Pakistan will win against Australia: Aakash. Commentator Aakash Chopra has predicted Pakistan to win against Australia in their semi-final in the ongoing T20 World Cup. ""History won't repeat itself...[it] will be rewritten,"" he stated, referring to the fact that Australia have won all four previous ICC knockout games against Pakistan. In T20Is, both teams have faced each other 23 times with Pakistan winning 13 times. ",history rewrite pakistan win australia aakash commentator aakash chopra predict pakistan win australia semi final ongoing world cup history not repeat [ ] rewrite state refer fact australia win four previous icc knockout game pakistan tis team face time pakistan win time
NZ once again won hearts along with the game: Sachin Tendulkar ,"Reacting to New Zealand's semi-final win against England in the T20 World Cup, Sachin Tendulkar said the Kane Williamson-led side ""once again"" won hearts along with the game. ""What a brilliant game...great knock by Mitchell, who was well supported by Conway and Neesham,"" Sachin tweeted. New Zealand needed 57 off the last four overs and won with six balls remaining. ",sports,"NZ once again won hearts along with the game: Sachin Tendulkar . Reacting to New Zealand's semi-final win against England in the T20 World Cup, Sachin Tendulkar said the Kane Williamson-led side ""once again"" won hearts along with the game. ""What a brilliant game...great knock by Mitchell, who was well supported by Conway and Neesham,"" Sachin tweeted. New Zealand needed 57 off the last four overs and won with six balls remaining. ",nz win heart along game sachin tendulkar react new zealand semi final win england world cup sachin tendulkar say kane williamson lead side win heart along game brilliant game great knock mitchell well support conway neesham sachin tweet new zealand need last four win six ball remain
"Newlyweds Malala, Asser's old pic with life-size cut-out of Shah Rukh goes viral ","An old picture of newlyweds Malala Yousafzai and Asser Malik with a life-size cut-out of Shah Rukh Khan has gone viral on social media. Asser had posted the picture on Twitter in July this year when Malala turned 24. ""Happy Birthday to the most amazing @Malala. @iamsrk had to make a necessary cameo of course,"" Asser wrote with the picture.",world,"Newlyweds Malala, Asser's old pic with life-size cut-out of Shah Rukh goes viral . An old picture of newlyweds Malala Yousafzai and Asser Malik with a life-size cut-out of Shah Rukh Khan has gone viral on social media. Asser had posted the picture on Twitter in July this year when Malala turned 24. ""Happy Birthday to the most amazing @Malala. @iamsrk had to make a necessary cameo of course,"" Asser wrote with the picture.",newlyweds malala asser old pic life size cut shah rukh go viral old picture newlywed malala yousafzai asser malik life size cut shah rukh khan go viral social medium asser post picture twitter july year malala turn happy birthday amazing malala iamsrk make necessary cameo course asser write picture
Israel holds war games to prepare for new lethal COVID-19 strain,"Israel on Thursday began war games to prepare for a new lethal COVID-19 variant. Israeli Prime Minister Naftali Bennett and senior leaders holed up in a war bunker during an exercise. Bennett described the ""Omega Drill"", named after a fictitious virus strain, as a precaution to ensure the country was prepared for ""any scenario"".",world,"Israel holds war games to prepare for new lethal COVID-19 strain. Israel on Thursday began war games to prepare for a new lethal COVID-19 variant. Israeli Prime Minister Naftali Bennett and senior leaders holed up in a war bunker during an exercise. Bennett described the ""Omega Drill"", named after a fictitious virus strain, as a precaution to ensure the country was prepared for ""any scenario"".",israel hold war game prepare new lethal covid strain israel thursday begin war game prepare new lethal covid variant israeli prime minister naftali bennett senior leader hole war bunker exercise bennett describe omega drill name fictitious virus strain precaution ensure country prepare scenario
Indian-origin scientist listed as 'first-named inventor' of Moderna's COVID-19 vaccine,"A filing by US-based Moderna for a patent application has listed Indian-origin scientist Mihir Metkar as the 'first-named inventor' of its mRNA COVID-19 vaccine. This is generally a term given to the primary contributor of the invention. Former Union Minister Prakash Javadekar appreciated the Pune-educated scientist, to which he responded, ""I'm glad I was able to...help limit COVID-19 spread.""",world,"Indian-origin scientist listed as 'first-named inventor' of Moderna's COVID-19 vaccine. A filing by US-based Moderna for a patent application has listed Indian-origin scientist Mihir Metkar as the 'first-named inventor' of its mRNA COVID-19 vaccine. This is generally a term given to the primary contributor of the invention. Former Union Minister Prakash Javadekar appreciated the Pune-educated scientist, to which he responded, ""I'm glad I was able to...help limit COVID-19 spread.""",indian origin scientist list first name inventor moderna covid vaccine filing us base moderna patent application list indian origin scientist mihir metkar first name inventor mrna covid vaccine generally term give primary contributor invention former union minister prakash javadekar appreciate pune educate scientist respond glad able help limit covid spread
We are experiencing the beginning of 5th wave of COVID-19: France,"France Health Minister Olivier Veran on Wednesday said that the country is experiencing the beginning of a fifth wave of COVID-19. ""Several neighbouring countries are already in a fifth wave of the COVID-19 epidemic,"" he added. New COVID-19 cases in France have seen double-digit percentage increases week-on-week since around mid-October.",world,"We are experiencing the beginning of 5th wave of COVID-19: France. France Health Minister Olivier Veran on Wednesday said that the country is experiencing the beginning of a fifth wave of COVID-19. ""Several neighbouring countries are already in a fifth wave of the COVID-19 epidemic,"" he added. New COVID-19 cases in France have seen double-digit percentage increases week-on-week since around mid-October.",experience beginning th wave covid france france health minister olivier veran wednesday say country experience beginning fifth wave covid several neighbouring country already fifth wave covid epidemic add new covid case france see double digit percentage increase week week since around mid october
"Daily COVID-19 cases cross 50,000 for 1st time since beginning of pandemic in Germany","German health authorities have said that that the country registered a record 50,196 new COVID-19 infections on Thursday. It is the first time Germany has exceeded 50,000 cases since the beginning of the pandemic. A virologist said that the country could witness as many as 100,000 more deaths from the virus and called for urgent action.",world,"Daily COVID-19 cases cross 50,000 for 1st time since beginning of pandemic in Germany. German health authorities have said that that the country registered a record 50,196 new COVID-19 infections on Thursday. It is the first time Germany has exceeded 50,000 cases since the beginning of the pandemic. A virologist said that the country could witness as many as 100,000 more deaths from the virus and called for urgent action.",daily covid case cross st time since beginning pandemic germany german health authority say country register record new covid infection thursday first time germany exceed case since beginning pandemic virologist say country could witness many death virus call urgent action
US becomes 101st country to join International Solar Alliance launched by PM in 2015,"The US has become the 101st member country to join the India-led International Solar Alliance (ISA). Calling it a ""wonderful news"", PM Narendra Modi tweeted, ""This will further strengthen the Alliance in our shared quest of harnessing solar energy for a sustainable planet."" The ISA was launched by PM Modi and then French president Francois Hollande on November 30, 2015.",world,"US becomes 101st country to join International Solar Alliance launched by PM in 2015. The US has become the 101st member country to join the India-led International Solar Alliance (ISA). Calling it a ""wonderful news"", PM Narendra Modi tweeted, ""This will further strengthen the Alliance in our shared quest of harnessing solar energy for a sustainable planet."" The ISA was launched by PM Modi and then French president Francois Hollande on November 30, 2015.",us become st country join international solar alliance launch pm us become st member country join india lead international solar alliance isa call wonderful news pm narendra modi tweet strengthen alliance share quest harness solar energy sustainable planet isa launch pm modi french president francois hollande november
Chinese city sees highest snowfall in 116 years; pics surface,"Shenyang in China's Liaoning province saw the highest recorded snowfall since 1905. Traffic in Liaoning province has been severely disrupted, with the majority of expressway toll stations shut as of Tuesday. Train and bus stations were also closed in the province as the meteorological department issued red alert for snowstorms.",world,"Chinese city sees highest snowfall in 116 years; pics surface. Shenyang in China's Liaoning province saw the highest recorded snowfall since 1905. Traffic in Liaoning province has been severely disrupted, with the majority of expressway toll stations shut as of Tuesday. Train and bus stations were also closed in the province as the meteorological department issued red alert for snowstorms.",chinese city see high snowfall year pic surface shenyang china liaoning province see high recorded snowfall since traffic liaoning province severely disrupt majority expressway toll station shut tuesday train bus station also close province meteorological department issue red alert snowstorm
No holy cow in Pakistan: Pak PM as court grills him over 2014 terror attack case ,"Pakistan Supreme Court grilled PM Imran Khan at a hearing of 2014 terror attack on an Army-run school. The court criticised the government for holding talks with culprit TTP, instead of taking action against those responsible for security failure. Stating that there's ""no holy cow"" in Pakistan, Khan said, ""Action will be taken against any person in...light of court orders.""",world,"No holy cow in Pakistan: Pak PM as court grills him over 2014 terror attack case . Pakistan Supreme Court grilled PM Imran Khan at a hearing of 2014 terror attack on an Army-run school. The court criticised the government for holding talks with culprit TTP, instead of taking action against those responsible for security failure. Stating that there's ""no holy cow"" in Pakistan, Khan said, ""Action will be taken against any person in...light of court orders.""",no holy cow pakistan pak pm court grill terror attack case pakistan supreme court grill pm imran khan hearing terror attack army run school court criticise government hold talk culprit ttp instead take action responsible security failure state no holy cow pakistan khan say action take person light court order
"Malala's husband posts pic after marriage, calls her 'beautiful and kind partner'","Nobel Peace Prize winner Malala Yousafzai's husband Asser Malik shared a picture on Twitter after their marriage and wrote, ""In Malala, I found the most supportive friend, a beautiful and kind partner - I'm so excited to spend the rest of our life together."" ""In following our cricket team's tradition, we had to do a victory cake cutting,"" he added. ",world,"Malala's husband posts pic after marriage, calls her 'beautiful and kind partner'. Nobel Peace Prize winner Malala Yousafzai's husband Asser Malik shared a picture on Twitter after their marriage and wrote, ""In Malala, I found the most supportive friend, a beautiful and kind partner - I'm so excited to spend the rest of our life together."" ""In following our cricket team's tradition, we had to do a victory cake cutting,"" he added. ",malala husband post pic marriage call beautiful kind partner nobel peace prize winner malala yousafzai husband asser malik share picture twitter marriage write malala find supportive friend beautiful kind partner excited spend rest life together follow cricket team tradition victory cake cutting add
Bangladesh sentences first Hindu Chief Justice to 11 years in jail in corruption case,"Bangladesh's former Chief Justice Surendra Kumar Sinha, the first Hindu to hold the post, has been sentenced in absentia to 11 years in jail in a corruption case. Media reports said opposition parties and supporters have called this politically motivated. A court in the capital Dhaka found Sinha guilty of laundering approximately $471,000 in connivance with a private bank's officials. 
",world,"Bangladesh sentences first Hindu Chief Justice to 11 years in jail in corruption case. Bangladesh's former Chief Justice Surendra Kumar Sinha, the first Hindu to hold the post, has been sentenced in absentia to 11 years in jail in a corruption case. Media reports said opposition parties and supporters have called this politically motivated. A court in the capital Dhaka found Sinha guilty of laundering approximately $471,000 in connivance with a private bank's officials. 
",bangladesh sentence first hindu chief justice year jail corruption case bangladesh former chief justice surendra kumar sinha first hindu hold post sentence absentia year jail corruption case medium report say opposition party supporter call politically motivated court capital dhaka find sinha guilty launder approximately connivance private bank official
Portugal makes it illegal for bosses to contact staff after work,"Portugal has passed new labour laws to give workers a healthier work-life balance and to attract ""digital nomads"" to the country. Under new rules, employers could be penalised for contacting employees after work and will be forced to pay for increased expenses as a result of working from home such as gas and electricity bills.",world,"Portugal makes it illegal for bosses to contact staff after work. Portugal has passed new labour laws to give workers a healthier work-life balance and to attract ""digital nomads"" to the country. Under new rules, employers could be penalised for contacting employees after work and will be forced to pay for increased expenses as a result of working from home such as gas and electricity bills.",portugal make illegal boss contact staff work portugal pass new labour law give worker healthy work life balance attract digital nomad country new rule employer could penalise contact employee work force pay increase expense result work home gas electricity bill
"South Africa's ex-President FW de Klerk, who freed Mandela, dies at 85","South Africa's former President Frederik Willem (FW) de Klerk died on Thursday morning at his home in Cape Town at the age of 85. He died following his struggle against mesothelioma cancer. In 1990, Klerk announced he was releasing anti-apartheid leader Nelson Mandela, and in 1993, the two shared the Nobel Peace Prize for their work towards ending apartheid.",world,"South Africa's ex-President FW de Klerk, who freed Mandela, dies at 85. South Africa's former President Frederik Willem (FW) de Klerk died on Thursday morning at his home in Cape Town at the age of 85. He died following his struggle against mesothelioma cancer. In 1990, Klerk announced he was releasing anti-apartheid leader Nelson Mandela, and in 1993, the two shared the Nobel Peace Prize for their work towards ending apartheid.",south africa ex president fw de klerk free mandela die south africa former president frederik willem fw de klerk die thursday morning home cape town age die follow struggle mesothelioma cancer klerk announce release anti apartheid leader nelson mandela two share nobel peace prize work towards end apartheid
Billionaire heiress' pet dog delivers rings during her wedding in US; she shares pic,"Billionaire heiress Ivy Getty's pet dog delivered the rings as she tied the knot with photographer Tobias Alexander Engel in San Francisco's City Hall. Ivy, the great granddaughter of oil tycoon J Paul Getty, posted a picture of the Chihuahua named Blue on Instagram. US Speaker of the House Nancy Pelosi officiated the ceremony, while actress Anya Taylor-Joy was maid-of-honour.",world,"Billionaire heiress' pet dog delivers rings during her wedding in US; she shares pic. Billionaire heiress Ivy Getty's pet dog delivered the rings as she tied the knot with photographer Tobias Alexander Engel in San Francisco's City Hall. Ivy, the great granddaughter of oil tycoon J Paul Getty, posted a picture of the Chihuahua named Blue on Instagram. US Speaker of the House Nancy Pelosi officiated the ceremony, while actress Anya Taylor-Joy was maid-of-honour.",billionaire heiress pet dog deliver ring wedding us share pic billionaire heiress ivy getty pet dog deliver ring tie knot photographer tobias alexander engel san francisco city hall ivy great granddaughter oil tycoon j paul getty post picture chihuahua name blue instagram us speaker house nancy pelosi officiate ceremony actress anya taylor joy maid honour
Nepal to vaccinate all adults against COVID by mid-April: Health Min,"Nepal will obtain enough vaccines to immunise all adults against COVID-19 by mid-April, Health Minister Birodh Khatiwada said. ""We're going to hire more health workers, so they're able to reach all remote corners of the country and establish new vaccine centres to reach all the population,"" Khatiwada added. Nepal began its immunisation campaign in January with vaccines donated by India. ",world,"Nepal to vaccinate all adults against COVID by mid-April: Health Min. Nepal will obtain enough vaccines to immunise all adults against COVID-19 by mid-April, Health Minister Birodh Khatiwada said. ""We're going to hire more health workers, so they're able to reach all remote corners of the country and establish new vaccine centres to reach all the population,"" Khatiwada added. Nepal began its immunisation campaign in January with vaccines donated by India. ",nepal vaccinate adult covid mid april health min nepal obtain enough vaccine immunise adult covid mid april health minister birodh khatiwada say go hire health worker able reach remote corner country establish new vaccine centre reach population khatiwada add nepal begin immunisation campaign january vaccine donate india
Pakistan buying US military weapons from Taliban: Report,"Pakistan is reportedly buying US military weapons from Afghanistan's Taliban to strengthen the security against the banned Tehrik-i-Taliban Pakistan. TTP has reportedly been launching frequent cross-border attacks in Pakistan. Notably, the NYT had last month reported the US weapons, which were seized by the Taliban after US troop withdrawal from Afghanistan, are being openly sold in Afghan shops.",world,"Pakistan buying US military weapons from Taliban: Report. Pakistan is reportedly buying US military weapons from Afghanistan's Taliban to strengthen the security against the banned Tehrik-i-Taliban Pakistan. TTP has reportedly been launching frequent cross-border attacks in Pakistan. Notably, the NYT had last month reported the US weapons, which were seized by the Taliban after US troop withdrawal from Afghanistan, are being openly sold in Afghan shops.",pakistan buy us military weapon taliban report pakistan reportedly buy us military weapon afghanistan taliban strengthen security ban tehrik taliban pakistan ttp reportedly launch frequent cross border attack pakistan notably nyt last month report us weapon seize taliban us troop withdrawal afghanistan openly sell afghan shop
600 Islamic State militants arrested in last 3 months: Taliban govt,"The Taliban-ruled government in Afghanistan claimed that at least 600 Islamic State (ISIS) militants have been arrested in the last three months. The detainees, including top ISIS leaders, ""were involved in subversive acts and killings"", Khalil Hamraz, Afghan intelligence department spokesman, said. ISIS has carried out several attacks in Afghanistan since the Taliban took control of the country.",world,"600 Islamic State militants arrested in last 3 months: Taliban govt. The Taliban-ruled government in Afghanistan claimed that at least 600 Islamic State (ISIS) militants have been arrested in the last three months. The detainees, including top ISIS leaders, ""were involved in subversive acts and killings"", Khalil Hamraz, Afghan intelligence department spokesman, said. ISIS has carried out several attacks in Afghanistan since the Taliban took control of the country.",islamic state militant arrest last month taliban govt taliban rule government afghanistan claim least islamic state isis militant arrest last three month detainee include top isis leader involve subversive act killing khalil hamraz afghan intelligence department spokesman say isis carry several attack afghanistan since taliban take control country
"China, US announce deal to boost cooperation on climate change","The world's top carbon polluters, China and the US, unveiled a deal to boost cooperation in tackling climate change, including by reducing methane emissions, protecting forests and phasing out coal. The surprise deal was announced at the COP26 climate summit in Glasgow. ""There's more agreement between China and US than divergence on climate change,"" China's climate envoy Xie Zhenhua said.",world,"China, US announce deal to boost cooperation on climate change. The world's top carbon polluters, China and the US, unveiled a deal to boost cooperation in tackling climate change, including by reducing methane emissions, protecting forests and phasing out coal. The surprise deal was announced at the COP26 climate summit in Glasgow. ""There's more agreement between China and US than divergence on climate change,"" China's climate envoy Xie Zhenhua said.",china us announce deal boost cooperation climate change world top carbon polluter china us unveil deal boost cooperation tackle climate change include reduce methane emission protect forest phase coal surprise deal announce cop climate summit glasgow agreement china us divergence climate change china climate envoy xie zhenhua say
US State Secy warns Russia over troop buildup on Ukraine border,"US State Secretary Antony Blinken said the US is closely monitoring reports of a Russian military buildup on the Russia-Ukraine border. Any attempt by ""Russia to use energy as a weapon or commit further aggressive acts against Ukraine"" would be met with a response from both US and Germany, Blinken warned. America's commitment to Ukraine's security is ""ironclad"", he added.",world,"US State Secy warns Russia over troop buildup on Ukraine border. US State Secretary Antony Blinken said the US is closely monitoring reports of a Russian military buildup on the Russia-Ukraine border. Any attempt by ""Russia to use energy as a weapon or commit further aggressive acts against Ukraine"" would be met with a response from both US and Germany, Blinken warned. America's commitment to Ukraine's security is ""ironclad"", he added.",us state secy warn russia troop buildup ukraine border us state secretary antony blinken say us closely monitor report russian military buildup russia ukraine border attempt russia use energy weapon commit aggressive act ukraine would meet response us germany blinken warn america commitment ukraine security ironclad add
